dist_id,district,flood11,flood12,flood13,flood14,flood15,flood16,Popl,wat_cov,san_cov,hw_cov,score,cas11,cas12,cas13,cas14,cas15,cas16,lat,lon,region,total_flood_years,total_cases,cases_per_100k,flood_years_pct,neighbor_mean_rate,lisa_class,local_morans_i
30,Gulu,0,0,1,1,0,0,436345,95,74.0,21.0,75,0,0,0,0,0,0,2.77,32.3,Northern,2,0,0.0,33.33333333333333,16.301030883638354,Low-High (Outlier),0.07934092884971283
31,Hoima,1,0,0,0,0,1,572986,83,91.0,40.0,65,0,1117,126,3,282,203,1.43,31.35,Western,2,1731,302.10162202915956,33.33333333333333,209.85291581674375,High-High (Hotspot Cluster),7.2710439891414556
32,Ibanda,0,0,0,1,0,0,249625,90,89.0,36.4,70,0,0,0,0,0,0,-0.13,30.58,Western,1,0,0.0,16.666666666666664,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
33,Iganga,0,0,0,0,0,0,504197,97,76.8,23.8,43,0,0,0,0,0,0,0.6,33.48,Eastern,0,0,0.0,0.0,7.104499272894579,Low-Low (Coldspot Cluster),0.1280563276717682
34,Isingiro,0,0,1,1,0,0,486360,41,91.4,35.6,50,0,0,0,0,0,0,-0.85,30.8,Western,2,0,0.0,33.33333333333333,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
35,Jinja,0,0,0,0,0,0,471242,96,75.3,16.5,30,0,0,0,0,0,0,0.43,33.2,Eastern,0,0,0.0,0.0,10.426781835278225,Low-High (Outlier),0.11045770170314718
36,Kaabong,0,1,1,0,0,0,167879,96,21.3,31.4,28,0,0,0,0,0,0,3.52,34.15,Northern,2,0,0.0,33.33333333333333,2.3203650707711345,Low-Low (Coldspot Cluster),0.15339859968684041
37,Kabale,0,0,0,1,1,1,528231,90,96.0,23.0,50,0,0,0,0,0,0,-1.25,29.99,Western,3,0,0.0,50.0,10.168608235301594,Low-High (Outlier),0.1118252857468419
38,Kabarole,1,0,1,0,0,0,469236,90,83.7,52.8,55,0,0,0,0,0,0,0.65,30.27,Western,2,0,0.0,33.33333333333333,119.90583184024703,Low-High (Outlier),-0.469469145655393
39,Kaberamaido,1,1,0,0,0,0,215026,97,83.0,30.0,65,0,0,0,0,0,0,1.75,33.2,Eastern,2,0,0.0,33.33333333333333,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
40,Kalangala,0,0,0,0,0,0,54293,85,69.0,3.0,45,0,0,0,0,0,0,-0.35,32.25,Central,0,0,0.0,0.0,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
41,Kaliro,0,0,0,0,0,0,236199,98,74.2,31.6,50,0,0,0,0,0,0,0.9,33.5,Eastern,0,0,0.0,0.0,9.516484856090994,Low-Low (Coldspot Cluster),0.11527968049521829
42,Kalungu,0,0,0,0,0,1,183232,69,92.5,51.2,68,0,0,0,0,0,0,-0.25,31.75,Central,1,0,0.0,16.666666666666664,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
43,Kampala,1,1,1,0,0,1,1507080,94,89.5,38.0,58,0,0,0,4,293,27,0.3476,32.5825,Central,4,324,21.498526952782868,66.66666666666666,6.002035786342002,High-Low (Outlier),0.05112565553920489
44,Kamuli,0,0,1,0,0,0,486319,96,70.2,38.0,50,0,0,0,0,0,0,0.95,33.12,Eastern,1,0,0.0,16.666666666666664,4.510109709777157,Low-Low (Coldspot Cluster),0.14179919591998827
45,Kamwenge,0,0,0,0,1,1,414454,67,80.2,26.0,48,0,0,0,0,0,0,0.18,30.55,Western,2,0,0.0,33.33333333333333,24.460713216842784,Low-High (Outlier),0.03611787520860382
46,Kanungu,1,0,1,0,0,0,252144,74,93.0,51.0,50,0,0,0,0,0,0,-0.9,29.78,Western,2,0,0.0,33.33333333333333,10.168608235301594,Low-High (Outlier),0.1118252857468419
47,Kapchorwa,0,0,0,0,0,0,105186,80,82.4,29.4,52,0,0,0,0,0,28,1.4,34.45,Eastern,0,28,26.619512102371036,0.0,47.72879148100649,High-High (Hotspot Cluster),-0.02044062368335719
48,Kasese,1,1,1,1,1,1,694992,92,86.0,33.3,53,106,536,2,0,206,0,0.18,30.08,Western,6,850,122.30356608421391,100.0,40.822329279325444,High-High (Hotspot Cluster),0.12722544979035882
49,Katakwi,1,1,1,1,0,0,166231,98,74.6,26.3,50,0,0,0,0,0,0,1.9,34.0,Eastern,4,0,0.0,66.66666666666666,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
50,Kayunga,0,0,0,0,0,0,368062,86,72.4,31.2,50,0,0,0,0,0,83,0.7,32.9,Central,0,83,22.550548548885786,0.0,0.0,High-Low (Outlier),0.058253349021780886
